ID;DescriÃ§Ã£o;Categoria;Fornecedor;Quantidade;Valor Custo;Valor Recomendado;imei;Loja
;ALEXA ECHO POP;Acessórios - Geral;;;R$ 300,00;R$ 400,00;G8M2DB085316017C;Águas Lindas Shopping
;PHILIPS HEADPHONE TAH1108BK;Áudio;;;R$ 72,25;R$ 129,00;LAPX2434118350;Águas Lindas Shopping
;PS5 MIDIA DIGITAL;Acessórios - Geral;;;R$ 3.380,00;R$ 3.480,00;S01-F55801A1310507741;Águas Lindas Shopping
;PS5 MIDIA FISICA;Acessórios - Geral;;;R$ 3.550,00;R$ 3.650,00;S01-V55901L6G10256674;Águas Lindas Shopping
;PELICULA 3D 17 PRO MAX ;Películas;;73;R$ 0,90;R$ 20,00;;Águas Lindas Shopping
;PELICULA 3D 17 PRO ;Películas;;24;R$ 0,90;R$ 20,00;;Águas Lindas Shopping
;PELICULA 3D 17 AIR ;Películas;;;R$ 0,90;R$ 20,00;;Águas Lindas Shopping
;PELICULA 3D 17 ;Películas;;24;R$ 0,90;R$ 20,00;;Águas Lindas Shopping
;PELICULA 3D 16 PRO MAX ;Películas;;32;R$ 0,90;R$ 20,00;;Águas Lindas Shopping
;PELICULA 3D 16 PRO ;Películas;;34;R$ 0,90;R$ 20,00;;Águas Lindas Shopping
;PELICULA 3D 16;Películas;;8;R$ 0,90;R$ 20,00;;Águas Lindas Shopping
;PELICULA 3D 15 PRO MAX ;Películas;;65;R$ 0,90;R$ 20,00;;Águas Lindas Shopping
;PELICULA 3D 15/15 PRO ;Películas;;37;R$ 0,90;R$ 20,00;;Águas Lindas Shopping
;PELICULA 3D 14 PRO MAX ;Películas;;14;R$ 0,90;R$ 20,00;;Águas Lindas Shopping
;PELICULA 3D 14 PRO ;Películas;;36;R$ 0,90;R$ 20,00;;Águas Lindas Shopping
;PELICULA 3D 14 ;Películas;;;R$ 0,90;R$ 20,00;;Águas Lindas Shopping
;PELICULA 3D 13 PRO MAX ;Películas;;47;R$ 0,90;R$ 20,00;;Águas Lindas Shopping
;PELICULA 3D 13 PRO ;Películas;;;R$ 0,90;R$ 20,00;;Águas Lindas Shopping
;PELICULA 3D 13;Películas;;57;R$ 0,90;R$ 20,00;;Águas Lindas Shopping
;PELICULA 3D 12 PRO MAX ;Películas;;65;R$ 0,90;R$ 20,00;;Águas Lindas Shopping
;PELICULA 3D 12/12 PRO ;Películas;;30;R$ 0,90;R$ 20,00;;Águas Lindas Shopping
;PELICULA 3D 11 PRO MAX ;Películas;;14;R$ 0,90;R$ 20,00;;Águas Lindas Shopping
;PELICULA 3D 11 PRO ;Películas;;10;R$ 0,90;R$ 20,00;;Águas Lindas Shopping
;PELICULA 3D 11;Películas;;58;R$ 0,90;R$ 20,00;;Águas Lindas Shopping
;PELICULA  3D XS;Películas;;117;R$ 0,90;R$ 20,00;;Águas Lindas Shopping
;PELICULA 3D 8 PLUS ;Películas;;87;R$ 0,90;R$ 20,00;;Águas Lindas Shopping
;PELICULA 3D 7/8;Películas;;74;R$ 0,90;R$ 20,00;;Águas Lindas Shopping
;PELICULA  FOSCA PRIVACIDADE 17 PRO MAX ;Películas;;36;R$ 2,40;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA PRIVACIDADE 17 PRO ;Películas;;50;R$ 2,40;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA PRIVACIDADE 17 AIR ;Películas;;;R$ 2,40;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA PRIVACIDADE 17;Películas;;;R$ 2,40;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA PRIVACIDADE 16 PRO MAX;Películas;;48;R$ 2,40;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA PRIVACIDADE 16 PRO ;Películas;;171;R$ 2,40;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA PRIVACIDADE 16;Películas;;48;R$ 2,40;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA PRIVACIDADE 15 PRO MAX;Películas;;25;R$ 2,40;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA PRIVACIDADE 15/15 PRO;Películas;;100;R$ 2,40;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA PRIVACIDADE 14 PRO MAX;Películas;;53;R$ 2,40;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA PRIVACIDADE 14 PRO;Películas;;162;R$ 2,40;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA PRIVACIDADE 14;Películas;;;R$ 2,40;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA PRIVACIDADE 13 PRO MAX;Películas;;20;R$ 2,40;R$ 40;;Águas Lindas Shopping
;PELICULAFOSCA PRIVAVIDADE 13 PRO ;Películas;;;R$ 2,40;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA PRIVACIDADE 13;Películas;;50;R$ 2,40;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA PRIVACIDADE 12 PRO MAX;Películas;;66;R$ 2,40;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA PRIVACIDADE 12/12 PRO;Películas;;49;R$ 2,40;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA PRIVACIDADE 11 PRO MAX;Películas;;54;R$ 2,40;R$ 40;;Águas Lindas Shopping
;PELICULA  FOSCA PRIVACIDADE 11 PRO;Películas;;121;R$ 2,40;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA PRIVACIDADE 11;Películas;;;R$ 2,40;R$ 40;;Águas Lindas Shopping
;PELICULA PRIVAVIDADE 17 PRO MA X;Películas;;46;R$ 3,50;R$ 40;;Águas Lindas Shopping
;PELICULA PRIVACIDADE 17 PRO;Películas;;16;R$ 3,50;R$ 40;;Águas Lindas Shopping
;PELICULA PRIVACIDADE 17 AIR ;Películas;;;R$ 3,50;R$ 40;;Águas Lindas Shopping
;PELICULA PRIVACIDADE 17;Películas;;22;R$ 3,50;R$ 40;;Águas Lindas Shopping
;PELICULA PRIVACIDADE 16 PRO MAX ;Películas;;51;R$ 3,50;R$ 40;;Águas Lindas Shopping
;PELICULA PRIVACIDADE 16 PRO ;Películas;;40;R$ 3,50;R$ 40;;Águas Lindas Shopping
;PELICULA PRIVACIDADE 16;Películas;;41;R$ 3,50;R$ 40;;Águas Lindas Shopping
;PELICULA PRIVACIDADE 15 PRO MAX ;Películas;;67;R$ 3,50;R$ 40;;Águas Lindas Shopping
;PELICULA PRIVACIDADE 15/15 PRO;Películas;;88;R$ 3,50;R$ 40;;Águas Lindas Shopping
;PELICULA PRIVACIDADE 14 PRO MAX;Películas;;43;R$ 3,50;R$ 40;;Águas Lindas Shopping
;PELICULA PRIVACIDADE 14 PRO ;Películas;;52;R$ 3,50;R$ 40;;Águas Lindas Shopping
;PELICULA PRIVACIDADE 14;Películas;;;R$ 3,50;R$ 40;;Águas Lindas Shopping
;PELICULA PRIVACIDADE 13 PRO MAX ;Películas;;25;R$ 3,50;R$ 40;;Águas Lindas Shopping
;PELICULA PRIVACIDADE 13 PRO ;Películas;;;R$ 3,50;R$ 40;;Águas Lindas Shopping
;PELICULA PRIVACIDADE 13;Películas;;44;R$ 3,50;R$ 40;;Águas Lindas Shopping
;PELICULA PRIVACIDADE 12 PRO MAX;Películas;;60;R$ 3,50;R$ 40;;Águas Lindas Shopping
;PELICULA PRIVACIDADE 12/12 PRÓ;Películas;;80;R$ 3,50;R$ 40;;Águas Lindas Shopping
;PELICULA PRIVACIDADE 11;Películas;;61;R$ 3,50;R$ 40;;Águas Lindas Shopping
;PELICULA PRIVACIDADE 11 PRO MAX;Películas;;;R$ 3,50;R$ 40;;Águas Lindas Shopping
;PELICULA PRIVACIDADE 11 PRO ;Películas;;;R$ 3,50;R$ 40;;Águas Lindas Shopping
;PELICULA PRIVACIDADE 8 PLUS;Películas;;;R$ 3,50;R$ 40;;Águas Lindas Shopping
;PELICULA PRIVACIDADE 7/8;Películas;;;R$ 3,50;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA 17 PRO MAX;Películas;;;R$ 2,70;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA 17 PRO ;Películas;;;R$ 2,70;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA 17 AIR ;Películas;;;R$ 2,70;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA 17;Películas;;;R$ 2,70;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA 16 PRO MAX ;Películas;;;R$ 2,70;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA 16 PRO ;Películas;;22;R$ 2,70;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA 16;Películas;;;R$ 2,70;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA 15 PRO MAX ;Películas;;;R$ 2,70;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA 15/15 PRO ;Películas;;76;R$ 2,70;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA 14 PRO MAX ;Películas;;1;R$ 2,70;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA 14 PRO ;Películas;;5;R$ 2,70;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA 14 ;Películas;;;R$ 2,70;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA13 PRO MAX;Películas;;;R$ 2,70;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA 13;Películas;;;R$ 2,70;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA 12 PRO MAX;Películas;;83;R$ 2,70;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA 12/12 PRO;Películas;;;R$ 2,70;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA 11 PRO MAX;Películas;;147;R$ 2,70;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA 11 PRO;Películas;;128;R$ 2,70;R$ 40;;Águas Lindas Shopping
;PELICULA FOSCA 11;Películas;;;R$ 2,70;R$ 40;;Águas Lindas Shopping
;JBL BOOMBOX 4;Áudio;;1;R$ 3.000,00;R$ 3.100,00;TL1876-FP0002865;Águas Lindas Shopping
;FONE JBL WAVE BUDS 2;Áudio;;1;R$ 230,00;R$ 330,00;DO0035-HO0021793;Águas Lindas Shopping
;FONE JBL WAVE BUDS 2;Áudio;;1;R$ 230,00;R$ 330,00;DO0035-HO0023070;Águas Lindas Shopping
;FONE JBL WAVE BUDS 2;Áudio;;1;R$ 270,00;R$ 370,00;DO0032-GP0769534;Águas Lindas Shopping
;JBL BOOMBOX 4;Áudio;;1;R$ 2.350,00;R$ 2.450,00;TL1878-IP0006659;Águas Lindas Shopping
;JBL BOOMBOX WI-FI;Áudio;;1;R$ 2.400,00;R$ 2.500,00;GG1155-HO0044116;Águas Lindas Shopping
;JBL CLIP 5;Áudio;;1;R$ 276,00;R$ 380,00;GG1265-FO0116519;Águas Lindas Shopping
;JBL CLIP 5;Áudio;;1;R$ 310,00;R$ 410,00;GG1265-GP0488506;Águas Lindas Shopping
;JBL FLIP 7;Áudio;;1;R$ 600,00;R$ 700,00;GG1464-GP0010034;Águas Lindas Shopping
;JBL FLIP 7;Áudio;;1;R$ 600,00;R$ 700,00;GG1461-DP0018121;Águas Lindas Shopping
;JBL GO4;Áudio;;1;R$ 230,00;R$ 330,00;DH0080-AP0635186;Águas Lindas Shopping
;JBL GO 4;Áudio;;1;R$ 240,00;R$ 340,00;TL1593-DP0334574;Águas Lindas Shopping
;JBL GO 4;Áudio;;1;R$ 240,00;R$ 340,00;TL1590-GP1273610;Águas Lindas Shopping
;JBL GO 4;Áudio;;1;R$ 240,00;R$ 340,00;TL1590-GP1273409;Águas Lindas Shopping
;JBL JUNIOR 320;Áudio;;1;R$ 200,00;R$ 300,00;IV0330-IO0024866;Águas Lindas Shopping
;JBL LIVE 770NC;Áudio;;1;R$ 550,00;R$ 650,00;TL1553-IP0685042;Águas Lindas Shopping
;JBL LIVE 770NC;Áudio;;1;R$ 530,00;R$ 630,00;TL1553-FP0551141;Águas Lindas Shopping
;JBL BOOMBOX 4;Áudio;;1;R$ 2.850,00;R$ 2.950,00;TL1878-IP0007039;Águas Lindas Shopping
;JBL PARTYBOX ENCORE;Áudio;;1;R$ 1.250,00;R$ 1.350,00;RS0348-EP0006852;Águas Lindas Shopping
;JBL QUANTUM 100;Áudio;;1;R$ 130,63;R$ 235,00;CM0073-IN1322792;Águas Lindas Shopping
;JBL TUNE 500;Áudio;;1;R$ 126,87;R$ 149,00;MM0082-DO1825486;Águas Lindas Shopping
;JBL TUNE 500;Áudio;;1;R$ 126,87;R$ 149,00;MM0082-DO1826753;Águas Lindas Shopping
;JBL TUNE 500;Áudio;;1;R$ 101,34;R$ 201,34;MM0082-HO2019436;Águas Lindas Shopping
;JBL QUANTUM 100 M2;Áudio;;1;R$ 140,00;R$ 240,00;CM0192IO0200618;Águas Lindas Shopping
;JBL QUANTUM 100 M2;Áudio;;1;R$ 140,00;R$ 240,00;CM0192-HO0142841;Águas Lindas Shopping
;JBL TUNE 520BT;Áudio;;1;R$ 180,00;R$ 280,00;MM0212-JO0411757;Águas Lindas Shopping
;JBL TUNE 520BT;Áudio;;1;R$ 210,00;R$ 310,00;MM0210-CP1594151;Águas Lindas Shopping
;JBL TUNE 520BT;Áudio;;1;R$ 210,00;R$ 310,00;MM0210-CP1590168;Águas Lindas Shopping
;JBL TUNE 520BT;Áudio;;1;R$ 210,00;R$ 310,00;MM0210-CP1591131;Águas Lindas Shopping
;JBL TUNE 720BT;Áudio;;1;R$ 255,00;R$ 299,00;TL1484-FO1050145;Águas Lindas Shopping
;JBL TUNE 720BT;Áudio;;1;R$ 300,00;R$ 400,00;TL1484-JP2760076;Águas Lindas Shopping
;JBL XTREME 4;Áudio;;1;R$ 1.350,00;R$ 1.450,00;GG1243-GP0027429;Águas Lindas Shopping
;PARTYBOX ENCORE ESSENTIAL 2;Áudio;;1;R$ 1.230,00;R$ 1.330,00;RS0348-JP0040532;Águas Lindas Shopping
;PARTYBOX ULTIMATE;Áudio;;1;R$ 6.350,00;R$ 6.450,00;GG1186-LO0014209;Águas Lindas Shopping
;PARTYBOX WIRELESS MIC;Áudio;;1;R$ 650,00;R$ 750,00;SL0001-GP0605433;Águas Lindas Shopping
;PARTYBOX WIRELESS MIC;Áudio;;1;R$ 620,00;R$ 720,00;SL0001-GP0603034;Águas Lindas Shopping
